Rep,GenotypeID,PI,Anthesis,AnthesisGDD,Silking,SilkingGDD,ASI_NEW,ASIGDD_NEW,Env
2,4226,NSL30904,75,1458.25,78,1526.3,-3,-68.05,MI2021
1,4226,NSL 30904,63,1288.5,63,1288.5,0,0,NE2021
2,4226,EL20_1727-1,63,1288.5,62,1261,1,27.5,NE2021
1,4722,PI587130,71,1476.5,76,1562.6,-5,-86.0999999999999,MI2020
2,4722,PI587130,74,1519,78,1612.9,-4,-93.9000000000001,MI2020
1,4722,PI587130,90,1780.95,95,1879.25,-5,-98.3,MI2021
2,4722,PI587130,90,1780.95,95,1879.25,-5,-98.3,MI2021
1,4722,GetFrom2021file,81,1760,83,1808,-2,-48,NE2020
2,4722,GetFrom2021file,84,1834,86,1879,-2,-45,NE2020
1,4722,PI 587130,85,1847.5,87,1887.5,-2,-40,NE2021
2,4722,MN20_1712,77,1629,82,1762.5,-5,-133.5,NE2021
1,11430,PI601558,61,1263.15,62,1289.4,-1,-26.25,MI2020
2,11430,PI601558,61,1263.15,63,1315.4,-2,-52.25,MI2020
1,11430,PI601558,76,1481.75,81,1569.4,-5,-87.6500000000001,MI2021
2,11430,PI601558,78,1526.3,81,1569.4,-3,-43.1000000000001,MI2021
1,11430,GetFrom2021file,69,1427,71,1472.5,-2,-45.5,NE2020
2,11430,GetFrom2021file,69,1427,71,1472.5,-2,-45.5,NE2020
1,11430,PI 601558,66,1354.5,68,1407,-2,-52.5,NE2021
2,11430,MN20_1768,66,1354.5,68,1407,-2,-52.5,NE2021
1,52220,Ames2336,68,1421.3,71,1476.5,-3,-55.2000000000001,MI2020
2,52220,Ames2336,70,1462.2,75,1536.1,-5,-73.8999999999999,MI2020
1,52220,Ames2336,81,1569.4,82,1585.25,-1,-15.8499999999999,MI2021
2,52220,Ames2336,89,1754.5,91,1807.4,-2,-52.9000000000001,MI2021
1,52220,GetFrom2021file,76,1615,77,1640.5,-1,-25.5,NE2020
2,52220,GetFrom2021file,77,1640.5,78,1669,-1,-28.5,NE2020
1,52220,Ames 2336,77,1629,79,1682.5,-2,-53.5,NE2021
2,52220,MN20_1568,77,1629,80,1705.5,-3,-76.5,NE2021
1,78004,PI601210,83,1605.15,85,1645.95,-2,-40.8,MI2021
2,78004,PI601210,84,1625.4,85,1645.95,-1,-20.55,MI2021
1,78004,PI 601210,69,1430.5,71,1481,-2,-50.5,NE2021
1,78004,PI 601210,71,1481,75,1574.5,-4,-93.5,NE2021
2,78004,MN20_1766,68,1407,73,1527,-5,-120,NE2021
2,78004,MN20_1779,72,1505,73,1527,-1,-22,NE2021
1,29MIBZ2,PI548830,56,1148.3,59,1221.7,-3,-73.4000000000001,MI2020
2,29MIBZ2,PI548830,58,1198.25,60,1241.35,-2,-43.0999999999999,MI2020
1,29MIBZ2,PI548830,75,1458.25,78,1526.3,-3,-68.05,MI2021
2,29MIBZ2,PI548830,75,1458.25,80,1554.8,-5,-96.55,MI2021
1,29MIBZ2,GetFrom2021file,64,1300.5,67,1373.5,-3,-73,NE2020
2,29MIBZ2,GetFrom2021file,66,1350.5,68,1399,-2,-48.5,NE2020
1,29MIBZ2,PI 548830,62,1261,64,1313,-2,-52,NE2021
2,29MIBZ2,MN20_1102,61,1239,64,1313,-3,-74,NE2021
1,2FACC,PI601808,64,1339.05,65,1364.9,-1,-25.8500000000001,MI2020
2,2FACC,PI601808,65,1364.9,67,1403.7,-2,-38.8,MI2020
1,2FACC,PI601808,81,1569.4,83,1605.15,-2,-35.75,MI2021
2,2FACC,PI601808,83,1605.15,85,1645.95,-2,-40.8,MI2021
1,2FACC,GetFrom2021file,71,1472.5,71,1472.5,0,0,NE2020
2,2FACC,GetFrom2021file,71,1472.5,72,1501,-1,-28.5,NE2020
1,2FACC,PI 601808,68,1407,67,1378,1,29,NE2021
2,2FACC,MN20_1264,65,1334.5,66,1354.5,-1,-20,NE2021
1,2FADB,PI564751,65,1364.9,67,1403.7,-2,-38.8,MI2020
2,2FADB,PI564751,62,1289.4,70,1462.2,-8,-172.8,MI2020
1,2FADB,PI564751,83,1605.15,85,1645.95,-2,-40.8,MI2021
2,2FADB,PI564751,82,1585.25,83,1605.15,-1,-19.9000000000001,MI2021
1,2FADB,GetFrom2021file,71,1472.5,71,1472.5,0,0,NE2020
2,2FADB,GetFrom2021file,71,1472.5,73,1533,-2,-60.5,NE2020
1,2FADB,PI 564751,66,1354.5,66,1354.5,0,0,NE2021
2,2FADB,EL19_6500-3,67,1378,67,1378,0,0,NE2021
1,2MA22,PI601560,60,1241.35,67,1403.7,-7,-162.35,MI2020
2,2MA22,PI601560,62,1289.4,66,1385.4,-4,-96,MI2020
1,2MA22,PI601560,78,1526.3,81,1569.4,-3,-43.1000000000001,MI2021
2,2MA22,PI601560,72,1386.65,82,1585.25,-10,-198.6,MI2021
1,2MA22,GetFrom2021file,71,1472.5,77,1640.5,-6,-168,NE2020
2,2MA22,GetFrom2021file,68,1399,76,1615,-8,-216,NE2020
1,2MA22,PI 601560,NA,NA,70,1454,NA,NA,NE2021
2,2MA22,MN20_1212,68,1407,70,1454,-2,-47,NE2021
1,2MCDB,PI565088,60,1241.35,63,1315.4,-3,-74.0500000000002,MI2020
2,2MCDB,PI565088,62,1289.4,63,1315.4,-1,-26,MI2020
1,2MCDB,PI565088,76,1481.75,84,1625.4,-8,-143.65,MI2021
2,2MCDB,PI565088,74,1433.9,76,1481.75,-2,-47.8499999999999,MI2021
1,2MCDB,GetFrom2021file,67,1373.5,67,1373.5,0,0,NE2020
2,2MCDB,GetFrom2021file,69,1427,71,1472.5,-2,-45.5,NE2020
1,2MCDB,PI 565088,63,1288.5,63,1288.5,0,0,NE2021
2,2MCDB,MN20_1289,68,1407,70,1454,-2,-47,NE2021
1,33-16,Ames26771,71,1476.5,79,1632.3,-8,-155.8,MI2020
2,33-16,Ames26771,72,1488.75,NA,NA,NA,NA,MI2020
1,33-16,Ames26771,88,1725.55,95,1879.25,-7,-153.7,MI2021
2,33-16,Ames26771,91,1807.4,97,1923.15,-6,-115.75,MI2021
1,33-16,GetFrom2021file,77,1640.5,81,1760,-4,-119.5,NE2020
